horse
,also,american,IN>NN>race
,be,be,IN>NN>racing
,first,cattle,IN>NNP>brigade
,have,guard,IN>NNP>guard
,he,have,IN>VBD>be
,her,he,IN>VBG>rid
,his,his,IN>VBZ>be
,it,it,JJ<dead<IN
,many,light,NN>race
,not,other,NN>racing
,other,race,NNP>brigade
,race,racing,NNP>guard
,show,rid,PRP$<his
,their,ride,PRP$<his<IN
,they,run,PRP$<their
,thoroughbred,show,PRP$<their<IN
,time,their,VBD>be
,use,thoroughbred,VBG>rid
,when,win,VBP>be
,year,year,VBZ>be
bomb
,air,atomic,IN>NN>attack
,aircraft,attack,IN>VBD>be
,attack,be,IN>VBD>explode
,be,bomb,IN>VBN>destroy
,drop,car,JJ<atomic
,explode,damage,JJ<atomic<IN
,first,detonate,JJ<nuclear
,force,drop,JJ<nuclear<IN
,have,explode,NN<car
,he,have,NN<car<IN
,his,he,NN>attack
,it,his,VBD<be
,kill,it,VBD<be<IN
,not,kill,VBD>be
,their,plant,VBD>explode
,they,raid,VBN<sink
,use,ship,VBN<sink<IN
,war,sink,VBN>destroy
,when,when,WRB<when
,world,world,WRB<when<IN
car
,also,accident,IN>NN>accident
,be,be,IN>NN>crash
,drive,car,IN>NN>park
,driver,championship,IN>VBD>be
,first,crash,IN>VBZ>be
,have,drive,JJ<first
,he,driver,JJ<first<IN
,her,first,JJ<new
,his,have,JJ<new<IN
,it,he,NN>accident
,make,his,NN>crash
,new,it,NN>park
,not,new,PRP$<her
,only,park,PRP$<her<IN
,race,race,PRP$<his
,their,series,PRP$<his<IN
,they,sport,PRP$<their
,use,their,PRP$<their<IN
,when,use,VBD>be
,year,when,VBZ>be
hospital
,also,be,IN>NNP>hospital
,be,bed,IN>VBD>be
,care,child,IN>VBD>die
,center,city,IN>VBN>take
,die,general,IN>VBZ>be
,general,have,NNP<general
,have,he,NNP<general<IN
,he,his,NNP<hospital
,health,hospital,NNP<hospital<IN
,her,it,NNP<memorial
,his,locate,NNP<memorial<IN
,it,medical,NNP<royal
,medical,new,NNP<royal<IN
,new,school,NNP<university
,school,st,NNP<university<IN
,she,state,NNP>hospital
,state,take,VBD>be
,take,teaching,VBD>die
,university,university,VBN>take
,where,where,VBZ>be
hotel
,also,be,IN>NN>room
,be,build,IN>NNP>hotel
,build,grand,IN>VBD>be
,building,have,IN>VBN>build
,city,he,IN>VBP>be
,first,his,IN>VBZ>be
,have,hotel,IN>VBZ>have
,he,house,NN<luxury
,his,include,NN<luxury<IN
,house,it,NN>room
,include,locate,NNP<hotel
,it,new,NNP<hotel<IN
,new,open,NNP<house
,other,park,NNP<house<IN
,resort,resort,NNP>hotel
,restaurant,restaurant,VBD>be
,room,room,VBN>build
,their,stay,VBP>be
,they,street,VBZ>be
,where,where,VBZ>have
fox
,20th,20th,IN>NN>network
,also,affiliate,IN>NNP>channel
,be,air,IN>NNP>network
,century,be,IN>NNP>news
,channel,century,IN>NNP>radio
,film,channel,IN>NNP>river
,have,corporation,IN>VBZ>be
,he,film,JJ<20th
,his,fox,JJ<20th<IN
,it,have,NN>network
,network,he,NNP<century
,new,it,NNP<century<IN
,news,network,NNP<james
,other,news,NNP<james<IN
,series,radio,NNP>channel
,show,river,NNP>network
,sport,series,NNP>news
,station,show,NNP>radio
,television,sport,NNP>river
,time,television,VBZ>be
gun
,also,anti-aircraft,IN>NN>fire
,be,artillery,IN>NNP>n
,fire,battery,IN>VBD>be
,have,be,IN>VBN>arm
,he,down,IN>VBZ>be
,her,fire,JJ<heavy
,his,gun,JJ<heavy<IN
,include,have,NN<anti-aircraft
,it,he,NN<anti-aircraft<IN
,machine,heavy,NN<machine
,mount,her,NN<machine<IN
,not,him,NN>fire
,rifle,his,NNP>n
,she,it,PRP$<his
,ship,machine,PRP$<his<IN
,their,mount,PRP$<their
,they,n,PRP$<their<IN
,use,rose,VBD>be
,weapon,their,VBN>arm
,when,use,VBZ>be
guitar
,acoustic,acoustic,IN>NN>solo
,album,also,IN>NNS>vocal
,also,band,IN>VBD>play
,band,bass,IN>VBG>play
,bass,be,IN>VBZ>play
,be,drum,JJ<acoustic
,drum,electric,JJ<acoustic<IN
,electric,guitar,JJ<electric
,feature,have,JJ<electric<IN
,have,he,NN<bass
,he,his,NN<bass<IN
,his,keyboard,NN>solo
,it,lead,NNS<vocal
,keyboard,piano,NNS<vocal<IN
,lead,play,NNS>vocal
,music,player,PRP$<his
,play,rhythm,PRP$<his<IN
,song,solo,VBD>play
,use,use,VBG>play
,vocal,vocal,VBZ>play
bus
,also,also,IN>NN>route
,be,be,IN>NN>service
,city,city,IN>NN>station
,company,company,IN>NN>stop
,have,have,IN>NNS>line
,it,it,IN>NNS>route
,line,line,IN>NNS>service
,new,local,IN>VBP>be
,operate,london,IN>VBZ>be
,provide,new,NN<school
,route,operate,NN<school<IN
,run,route,NN>route
,serve,run,NN>service
,service,school,NN>station
,station,serve,NN>stop
,stop,service,NNS>line
,system,station,NNS>route
,transit,stop,NNS>service
,transport,terminal,VBP>be
,use,use,VBZ>be
table
,also,article,IN>NN>tennis
,article,be,IN>NN>top
,be,content,IN>VBD>be
,can,have,IN>VBN>use
,content,his,IN>VBZ>be
,do,i,IN>VBZ>show
,have,it,JJ<following
,he,league,JJ<following<IN
,i,list,NN<league
,include,make,NN<league<IN
,it,not,NN<water
,list,other,NN<water<IN
,not,picnic,NN>tennis
,other,place,NN>top
,place,round,NNS<content
,show,table,NNS<content<IN
,tennis,tennis,VBD>be
,they,top,VBN>use
,top,use,VBZ>be
,use,water,VBZ>show
piano
,age,age,IN>NN>cello
,also,be,IN>NN>concerto
,be,begin,IN>NN>solo
,concerto,competition,IN>NN>viola
,first,concerto,IN>NN>violin
,guitar,guitar,IN>NN>voice
,have,he,IN>NNS>lesson
,he,his,IN>VB>play
,his,lesson,IN>VBD>study
,include,music,IN>VBG>play
,it,orchestra,NN>cello
,music,organ,NN>concerto
,op,piano,NN>solo
,orchestra,piece,NN>viola
,play,play,NN>violin
,solo,solo,NN>voice
,song,sonata,NNS>lesson
,study,study,VB>play
,violin,violin,VBD>study
,work,work,VBG>play
bowl
,also,batsman,IN>NN>batsman
,be,be,IN>NN>game
,championship,bowl,IN>NNS>game
,first,college,IN>VBD>be
,football,fiesta,NN>batsman
,game,first,NN>game
,have,football,NNP<orange
,he,game,NNP<orange<IN
,his,have,NNP<pro
,include,his,NNP<pro<IN
,it,medium,NNP<rose
,play,play,NNP<rose<IN
,pro,pro,NNP<sugar
,season,right-arm,NNP<sugar<IN
,super,right-handed,NNP<super
,team,rose,NNP<super<IN
,their,season,NNS>game
,they,super,VBD<be
,win,team,VBD<be<IN
,year,win,VBD>be
