horse
,animal,artillery,>NNP|artillery
,breed,breed,>NNP|brigade
,him,cattle,>NNP|comic
,light,dark,>NNP|regiment
,many,light,>NNS|show
,most,many,>NN|racing
,name,most,>NN|rider
,old,name,>VBG|rid
,race,race,>VB|ride
,racing,racing,JJ|wild<
,regiment,regiment,NNP|champion<
,rid,rid,NNP|crazy<
,ride,ride,NNP|light<
,rider,rider,NNP|older<
,she,riding,NNP|thoroughbred<
,take,royal,NNP|trojan<
,them,take,NNS|mule<
,they,thoroughbred,NN|year<of<
,thoroughbred,white,VBG|race<
,when,wild,VBN|age<
bomb
,atomic,atomic,>NNS|attack
,car,car,>NNS|explodes
,damage,cause,>NN|blast
,destroy,damage,>NN|explosion
,detonate,detonate,>VBD|cause
,drop,drop,>VBD|drop
,explode,explode,>VBD|explode
,explosion,explosion,>VBN|detonate
,german,explosive,>VBN|drop
,group,hydrogen,>VB|detonate
,ii,plane,>by>VBN|hit
,injure,plant,>by>VBN|kill
,mission,ship,JJ|atomic<
,raid,sink,JJ|incendiary<
,ship,suicide,JJ|laser-guided<
,target,target,NNP|atomic<
,then,test,NNP|luftwaffe<
,they,they,NN|aircraft<by<
,when,when,NN|hydrogen<
,world,world,NN|roadside<
car
,crash,car,>NNP|championship
,design,concept,>NNP|company
,drive,crash,>NN|accident
,get,die,>NN|bomb
,him,drive,>NN|crash
,motor,get,>NN|driver
,new,large,>NN|racing
,park,motor,>VBG|drive
,race,number,>VBG|race
,racing,park,>VBN|hit
,she,passenger,>VB|get
,sport,race,>by>VBN|hit
,such,racing,JJ|electric<
,take,sell,JJ|small<
,team,sport,NNP|formula<
,their,stock,NNP|group<
,they,take,NNS|sport<
,up,touring,NN|motor<
,vehicle,when,NN|passenger<
,when,world,VBG|race<
hospital
,bed,bed,>NNP|center
,care,care,>NNP|hospital
,child,child,>NNP|trust
,college,college,>NNS|bed
,die,die,>NN|ship
,doctor,doctor,>NN|staff
,facility,john,>NN|stay
,general,later,>VBD|open
,him,leave,>VBN|admit
,home,london,>VBN|rush
,later,medical,>at>VBD|die
,medical,memorial,>in>VBD|die
,name,private,>to>VBN|admit
,new,psychiatric,>to>VBN|rush
,patient,public,>to>VBN|take
,service,royal,JJ|nearby<
,she,rush,NNP|child<
,st,she,NNP|community<
,take,ship,NNP|hospital<
,when,teaching,NN|teaching<
hotel
,grand,bar,>NNP|hotel
,group,casino,>NNS|room
,guest,chain,>NN|chain
,he,former,>NN|lobby
,him,grand,>NN|manager
,know,historic,>NN|restaurant
,many,hotel,>NN|room
,new,london,>NN|site
,office,luxury,>VBD|open
,place,management,>at>VBN|hold
,resort,operate,JJ|historic<
,restaurant,owner,JJ|small<
,room,park,NNP|fairmont<
,stay,plaza,NNP|hilton<
,such,resort,NNP|hotel<
,take,restaurant,NNP|marriott<
,they,room,NNP|palace<
,up,spring,NNP|plaza<
,well,stay,NNS|restaurant<
,york,store,NN|resort<
fox
,20th,20th,>NNPS|city
,abc,abc,>NNPS|sport
,affiliate,affiliate,>NNP|break
,american,america,>NNP|mulder
,bear,broadcasting,>NNP|reservation
,century,century,>NNP|river
,channel,channel,>NNP|searchlight
,film,charles,>NNP|sport
,him,james,>NNS|program
,host,kid,>NN|hunting
,network,morning,>NN|news
,new,net,>VBD|visit
,program,network,>VBN|televise
,september,originally,>on>VBD|air
,she,river,>on>VBN|televise
,sport,september,JJ|20th<
,state,sport,JJ|gray<
,station,star,NNP|hound<
,united,take,NNP|matthew<
,when,valley,NNP|twentieth<
gun
,arm,anti-aircraft,>NNP|n
,artillery,artillery,>NN|control
,battery,battery,>NN|fire
,capture,capture,>NN|gun
,down,control,>VBD|fire
,heavy,crew,>VBD|mount
,him,enemy,>VBG|fire
,light,get,>VBN|arm
,machine,heavy,>VBN|mount
,men,light,>with>VBN|arm
,mount,machine,JJ|light<
,position,man,JJ|naval<
,rifle,mount,NNP|hotchkiss<
,she,rifle,NNP|lewis<
,ship,rose,NNP|machine<
,shoot,ship,NN|ammunition<
,them,shoot,NN|anti-aircraft<
,they,submachine,NN|artillery<
,weapon,tank,NN|submachine<
,when,turret,NN|tank<
guitar
,acoustic,acoustic,>NNP|hero
,band,backing,>NNS|drum
,bass,band,>NNS|guitar
,drum,banjo,>NN|bass
,early,bass,>NN|riff
,electric,classical,>NN|solo
,form,drum,>VBN|replace
,guitarist,electric,>VB|feature
,instrument,guitar,>on>VBD|feature
,keyboard,hero,>on>VB|feature
,member,keyboard,JJ|acoustic<
,piano,piano,NNP|bass<
,player,player,NNP|esp<
,rhythm,playing,NNP|gibson<
,rock,rhythm,NNS|drum<
,she,riff,NNS|keyboard<
,solo,rock,NN|harmonica<
,string,solo,NN|piano<
,track,string,NN|rhythm<
,well,style,NN|steel<
bus
,can,board,>NNP|interchange
,connect,bus,>NNP|service
,line,connect,>NNP|station
,local,express,>NNP|stop
,london,interchange,>NNP|terminal
,new,large,>NNS|bay
,number,number,>NNS|company
,operate,operate,>NNS|line
,passenger,operator,>NNS|passenger
,provide,private,>NNS|route
,public,public,>NNS|stop
,route,rail,>NN|depot
,service,regular,>NN|driver
,stop,route,>NN|operator
,such,service,>NN|terminal
,take,stop,>VBN|replace
,terminal,terminal,>VBN|serve
,transit,tour,>VBP|run
,transport,transit,>by>VBN|serve
,travel,transport,NN|tour<
table
,can,book,>NNS|table
,content,can,>NN|salt
,finish,content,>NN|tennis
,following,finish,>NN|top
,game,i,>VBN|place
,information,list,>in>VBD|finish
,list,mountain,>in>VBN|show
,number,periodic,>of>NNS|table
,page,picnic,>of>NN|top
,place,place,JJ|periodic<
,player,player,JJ|picnic<
,season,round,JJ|sortable<
,see,see,NNP|round<
,should,so,NNS|content<
,so,table,NNS|content<of<
,team,team,NNS|list<
,tennis,tennis,NNS|table<
,they,turn,NN|following<
,water,water,NN|picnic<
,well,well,NN|table<
piano
,album,accompaniment,>NNP|competition
,bass,bass,>NNP|concerto
,cello,cello,>NNP|player
,concerto,competition,>NNP|sonata
,drum,concerto,>NNS|lesson
,grand,drum,>NNS|recital
,guitar,flute,>NNS|sonata
,instrument,guitar,>NN|accompaniment
,lesson,jazz,>NN|bass
,op,lesson,>NN|cello
,piece,organ,>NN|clarinet
,player,piano,>NN|concerto
,she,player,>NN|score
,solo,solo,>NN|solo
,sonata,sonata,>NN|sonata
,song,teacher,>NN|viola
,viola,trumpet,>NN|violin
,violin,violin,JJ|grand<
,voice,voice,NNP|op<
,write,write,NN|orchestra<
bowl
,ball,alley,>NNP|bowl
,batsman,appearance,>NNP|classic
,college,ball,>NNP|subdivision
,football,batsman,>NNP|xliii
,game,bowl,>NNS|ring
,lose,cotton,>NN|appearance
,name,earn,>NN|batsman
,nfl,fiesta,>VB|win
,orange,game,>to>VBN|select
,out,left-handed,NNP|bermuda<
,player,medium,NNP|bowl<
,pro,orange,NNP|citrus<
,rose,player,NNP|cotton<
,season,pro,NNP|fiesta<
,second,quiz,NNP|orange<
,super,right-arm,NNP|rose<
,take,right-handed,NNS|inning<
,team,rose,NNS|over<
,they,sugar,NN|fast-medium<
,wicket,super,NN|pace<
