horse
,appaloosa,appaloosa
,bronc,bareback
,chariot,bronc
,dog,camel
,gaited,colt
,gelding,cow
,greyhound,dog
,harness,donkey
,horses,elephant
,percheron,goat
,pony,greyhound
,racehorse,horses
,racehorses,mule
,riderless,pony
,saddlebred,racehorse
,stallion,saddlebred
,standardbred,sidesaddle
,sulky,stallion
,thoroughbred,unicycle
,trotting,zebu
bomb
,500-pound,a-bomb
,b61,bomber
,blast,bomblets
,bombs,bombs
,booby-trap,booby-trap
,car-bomb,car-bomb
,detonate,detonator
,detonated,explosives
,detonates,firebomb
,detonating,firebombs
,detonation,grenade
,detonations,ied
,exploded,kamikaze
,explosives,landmine
,firebomb,machinegun
,landmine,missile
,laser-guided,munition
,tallboy,nuke
,thermonuclear,torpedo
,warhead,warhead
car
,automobile,automobile
,bike,bike
,cars,cars
,driver,jeep
,front-engined,limo
,limousine,limousine
,lorry,lorry
,mercedes-benz,minibus
,mid-engined,minivan
,minivan,motorcar
,moped,motorcycle
,motorbike,motorhome
,motorcar,racecar
,motorcycle,roadster
,motorhome,speedboat
,rear-engined,suv
,suv,taxicab
,three-wheeled,truck
,truck,vehicle
,vehicle,wagon
hospital
,addenbrooke,almshouse
,bethlem,clinic
,clinic,dispensary
,convalescent,gaol
,dispensary,guesthouse
,hospice,heliport
,hospitals,hospice
,in-patient,hospitals
,incurables,infirmary
,infirmary,institutet
,lying-in,leprosarium
,maudsley,motherhouse
,mulago,orphanage
,orthopaedic,polyclinic
,polyclinic,poorhouse
,psychiatric,rikshospitalet
,sanatorium,sanatorium
,sanitarium,sanitarium
,siriraj,sanitorium
,westmead,workhouse
hotel
,apartments,boardinghouse
,boutique,brasserie
,cafe,brewpub
,casino,cafe
,doubletree,café
,hotels,casino
,inn,condo
,kempinski,guesthouse
,mansion,hotels
,marriott,inn
,motel,motel
,nightclub,nightclub
,ramada,pizzeria
,restaurant,restaurant
,ritz-carlton,ritz-carlton
,sheraton,roadhouse
,sofitel,sheraton
,tavern,steakhouse
,travelodge,tavern
,westin,travelodge
fox
,abc,abc
,blitzer,byutv
,cbs,cbs-tv
,cnn,cinemax
,ctv,coyote
,espn,daystar
,familynet,familynet
,msnbc,hdnet
,nbc,kron
,nesn,mundofox
,oln,nbc
,wb,nbc-tv
,wesh,oln
,wfxt,soapnet
,wgn-tv,telefutura
,wjbk,wccb
,wofl,wdiv
,wsvn,wjar
,wttg,wolf
,wxyz-tv,woodchuck
gun
,105mm,autocannon
,3-inch,cannon
,37mm,carbine
,40mm,carronade
,76mm,crossbow
,88mm,firearm
,autocannons,flamethrower
,belt-fed,guns
,cannon,handgun
,flamethrower,howitzer
,gatling,machine-gun
,guns,machinegun
,howitzer,musket
,large-caliber,phaser
,pistol,pistol
,recoilless,pounder
,rifle,revolver
,shkas,rifle
,smoothbore,shotgun
,sub-machine,weapon
guitar
,12-string,accordion
,accordion,autoharp
,autoharp,banjo
,banjo,bass
,bass,cello
,drums,clarinet
,fiddle,drums
,fretless,fiddle
,guitars,guitars
,harmonica,harmonica
,keyboards,mandolin
,mandolin,marimba
,melodica,piano
,percussion,sax
,saxophone,saxophone
,tambourine,sitar
,trombone,trombone
,ukulele,trumpet
,vibraphone,vibraphone
,vocals,violin
bus
,apsrtc,buses
,buses,busses
,busses,ferryboat
,commuter,intercityexpress
,dial-a-ride,jeepney
,fixed-route,lorry
,inter-city,metrobus
,inter-urban,minibus
,intercity,motorcoach
,ksrtc,railcar
,light-rail,railmotor
,limited-stop,streetcar
,metrobus,taxi
,mini-bus,taxicab
,minibus,train
,msrtc,tram
,rail,tramcar
,tram,trolley
,transit,trolleybus
,trolleybus,truck
table
,billiard,bookcase
,brackets,chessboard
,bulleted,cladogram
,carom,dais
,foosball,flowchart
,footer,gameboard
,header,leaderboard
,look-up,letterbox
,lookup,mantelpiece
,menu,playfield
,ping-pong,sideboard
,sortable,stepladder
,table-tennis,tables
,tables,taskbar
,tabular,textbox
,textbox,tray
,toc,viewport
,tray,wikitable
,wikitable,windowsill
,wikitables,worksheet
piano
,accordion,accordion
,bassoon,bassoon
,cello,cello
,clarinet,clarinet
,concerto,clavichord
,concertos,clavinet
,flute,euphonium
,harp,fortepiano
,harpsichord,guitar
,mandolin,harmonica
,oboe,harpsichord
,pianoforte,mandolin
,saxophone,marimba
,sonatas,pianoforte
,trombone,saxophone
,trumpet,trombone
,vibraphone,trumpet
,viola,vibraphone
,violin,violin
,violoncello,violoncello
bowl
,bluebonnet,alcs
,bowls,arenabowl
,gator,arenacup
,tostitos,beanpot
,xli,bowls
,xlii,cup
,xliii,cws
,xliv,kvalserien
,xlv,llws
,xlvi,nit
,xlvii,nlcs
,xxviii,nlds
,xxxi,postseason
,xxxii,superbowl
,xxxiv,tourney
,xxxix,triplemanía
,xxxv,wcws
,xxxvi,wnit
,xxxvii,xliii
,xxxviii,xlv
